epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,3860.16,0.75875,0.65105,1.12797,0.66926,0.63992,0.64007,0.50097,1.07978,1.34833,1.47046,0.0004885,0.0004885,0.0004885
157,3885.86,0.76024,0.65073,1.14221,0.6849,0.61933,0.63324,0.48717,1.07299,1.32125,1.47856,0.0004852,0.0004852,0.0004852
158,3911.31,0.77463,0.67789,1.14745,0.6965,0.63532,0.62883,0.48677,1.0624,1.334,1.46916,0.0004819,0.0004819,0.0004819
159,3935.18,0.7512,0.65281,1.13195,0.66997,0.64534,0.62888,0.49034,1.06339,1.27473,1.44943,0.0004786,0.0004786,0.0004786
160,3960.43,0.76392,0.67094,1.1435,0.66546,0.63353,0.62376,0.48638,1.06752,1.34137,1.44105,0.0004753,0.0004753,0.0004753
161,3986.74,0.74802,0.63878,1.12756,0.6762,0.61942,0.62619,0.4885,1.0728,1.36282,1.47155,0.000472,0.000472,0.000472
162,4012.09,0.76447,0.64948,1.13428,0.66844,0.62122,0.62449,0.48999,1.04913,1.38223,1.44409,0.0004687,0.0004687,0.0004687
163,4037.01,0.73706,0.64822,1.11447,0.67226,0.63751,0.63095,0.49411,1.05579,1.37451,1.4305,0.0004654,0.0004654,0.0004654
164,4061.33,0.74246,0.64477,1.1203,0.64129,0.63062,0.6146,0.47851,1.04728,1.36743,1.42057,0.0004621,0.0004621,0.0004621
165,4086.9,0.74458,0.63323,1.12648,0.66771,0.62972,0.62375,0.48911,1.04255,1.35773,1.42632,0.0004588,0.0004588,0.0004588
166,4112.05,0.74545,0.6396,1.12693,0.65362,0.63604,0.6194,0.48277,1.05367,1.32137,1.43729,0.0004555,0.0004555,0.0004555
167,4137.46,0.74405,0.63409,1.12565,0.69717,0.61419,0.63865,0.50086,1.06003,1.31547,1.46717,0.0004522,0.0004522,0.0004522
168,4161.5,0.73847,0.63395,1.12181,0.68122,0.62127,0.63905,0.49972,1.05567,1.32078,1.4408,0.0004489,0.0004489,0.0004489
169,4186.16,0.72409,0.61522,1.10859,0.70232,0.62219,0.63414,0.49165,1.06252,1.29031,1.45606,0.0004456,0.0004456,0.0004456
170,4211.39,0.73383,0.63641,1.12754,0.68934,0.61092,0.6154,0.47967,1.05687,1.33681,1.44062,0.0004423,0.0004423,0.0004423
171,4236.63,0.72898,0.62938,1.12093,0.69352,0.64039,0.64426,0.49881,1.07356,1.30167,1.45558,0.000439,0.000439,0.000439
